	0
0	RIOK2
1	ZKSCAN7-AS1
2	AC087439.1
3	DNHD1
4	LINC01770
5	MPO
6	MIR155HG
7	LINC02222
8	AL357832.1
9	UPF2
10	AF127577.5
11	TOMM34
12	RBPMS-AS1
13	OCIAD1
14	ZNF70
15	AL157893.2
16	AC004233.3
17	CEACAM3
18	FZD8
19	AC019080.1
20	SEPTIN4
21	AL158835.1
22	CCDC194
23	AC092042.4
24	AC055811.3
25	SRFBP1
26	AC113382.1
27	AC006960.3
28	RASSF1-AS1
29	AL359764.2
30	IQCN
31	SILC1
32	TMCO6
33	ADO
34	AC087175.1
35	TRBV7-5
36	IL26
37	AP002505.1
38	PLPP5
39	AC092650.1
40	AL354984.1
41	M1AP
42	AL121827.2
43	PSTPIP2
44	HACD1
45	OFD1
46	PSMB10
47	UBE2L5
48	SF3B1
49	ZNF211
50	LINC01370
51	GASK1B
52	ORC5
53	POLH
54	TM9SF4
55	AC005209.1
56	LINC02800
57	SH2D1A
58	SLC25A25-AS1
59	DELE1
60	USP30-AS1
61	AC023595.1
62	AC093849.2
63	AL023583.1
64	PHF2
65	MYO1H
66	HLA-DOA
67	AC090994.1
68	INTS2
69	AC068946.3
70	CCDC28B
71	AC009229.2
72	AL035252.5
73	AC008443.2
74	RDH13
75	AC096564.2
76	PLCB3
77	ABALON
78	AP000926.2
79	DDX28
80	FENDRR
81	LINC00028
82	AC084024.3
83	BDH1
84	FBXL5
85	AC034198.2
86	AC012101.2
87	AC107079.1
88	AC090023.2
89	AL359232.1
90	UNC119
91	CRB3
92	AC108156.1
93	AL121655.1
94	AC025580.3
95	SNHG6
96	SEZ6
97	DRD1
98	CYP2W1
99	AP001350.1
100	ZRANB3
101	AC025278.1
102	AC137894.3
103	ZNF670
104	PFN1
105	MFSD11
106	AC107905.1
107	FGF10-AS1
108	CFAP45
109	FP671120.6
110	MVD
111	HCAR2
112	CFAP65
113	PDZD2
114	AC005609.4
115	HORMAD1
116	JMJD7
117	RUNX2
118	CDC40
119	LINC01550
120	AL121972.1
121	FXR2
122	SLC25A15
123	GRK3
124	EZR-AS1
125	RNF220
126	BX470209.1
127	PLCB4
128	AC012065.3
129	LAYN
130	AL954642.1
131	PANK2
132	PRR12
133	AC113139.1
134	RASSF4
135	CELF2-DT
136	LINC00381
137	GK3P
138	HNRNPF
139	Z82214.1
