	0
0	HLA-DQB1
1	KLF9
2	AP005059.2
3	AC006547.2
4	BBOX1-AS1
5	WNT1
6	AC007066.2
7	LINC00323
8	WDR12
9	KLHL11
10	G6PC2
11	LNX1-AS1
12	AC074008.1
13	ELMOD3
14	AC092718.4
15	CARS2
16	MMRN1
17	SLC13A4
18	LINC02026
19	LINC01106
20	AC130352.1
21	ERCC6L2
22	VPS33B-DT
23	AC096861.2
24	PIGV
25	CLDND1
26	AC092353.1
27	CYP2A6
28	METTL27
29	OR1N1
30	LRRC40
31	LINC00667
32	CCL24
33	L3MBTL4
34	HES7
35	VWA5B2
36	LINC00598
37	AL161449.2
38	LINC02753
39	PSAP
40	AC068473.2
41	GABRA6
42	EBF4
43	ZBTB44-DT
44	FOLR1
45	AC080162.1
46	LINC02598
47	CLSPN
48	BANF2
49	RLN3
50	CTTNBP2NL
51	ZSCAN5C
52	AC140912.1
53	NDRG2
54	RUNX1T1
55	LINC01354
56	DENND1B
57	DAXX
58	AC087260.1
59	C16orf72
60	LINC02084
61	PCK2
62	AC099845.1
63	AC124319.2
64	FAM184B
65	RXFP4
66	INHBE
67	CXCR4
68	WTIP
69	BCL6B
70	GPATCH2L
71	IFFO1
72	OR52B6
73	RPS6KC1
74	AL591846.2
75	TOP3A
76	AGRP
77	LINC01260
78	RPAP3
79	HPDL
80	KCNK16
81	PEBP4
82	AL137847.1
83	TCEAL4
84	AC099518.6
85	ACVR2B
86	KRTAP5-10
87	FOXH1
88	SLC16A12-AS1
89	MTDH
90	SLIT3
91	FAM131A
92	TDRKH-AS1
93	RBFADN
94	LINC01649
95	MTF2
96	HERC5
97	PIGU
98	LINC02317
99	AC008608.2
100	ALMS1
101	ANK1
102	PLAAT3
103	KRTAP9-6
104	FCHSD2
105	SPOPL
106	SLC9A6
107	NTRK3
108	LINC00189
109	ITFG1
110	AL589765.5
111	AC011287.1
112	LINC01267
113	AC114810.1
114	ZNF728
115	CDK19
116	LAYN
117	NXPE3
118	LINC01684
119	HSD11B1L
120	GATA2
121	GFOD1
122	TP53I3
123	ADARB2-AS1
124	NLK
125	EGFLAM-AS3
126	LINC01903
127	ARHGEF38
128	AC138965.1
129	ABHD18
130	LINC01374
131	CHRNA2
132	CCL21
133	AC005104.1
134	ABCA10
135	ACOT6
136	AC093752.2
137	INE2
138	ABCC8
139	AC132872.2
140	AC096543.1
141	FRMD8
142	ZNF43
143	BMP5
144	FP326651.1
145	AL162632.1
146	AL132780.2
147	KLK10
148	CHRM3-AS2
149	GRID2
150	RTBDN
151	SLC38A2
152	HHATL
153	CLASP2
154	ZNF143
155	PRKACB
156	FADS1
157	LAMP2
158	SP100
159	CUL7
160	SNAPC3
161	AC009095.1
162	ZNF846
163	TENT4B
164	AC092755.2
165	PRCD
166	NLN
167	SPIRE2
168	AL391832.1
169	CHD8
170	CXCR3
171	HMBS
172	ACIN1
173	AC023421.2
174	AC008556.1
175	AC009533.3
176	LINC02333
177	STARD13-IT1
178	TMSB4Y
179	AC012339.1
180	AC016995.1
181	AP001266.1
182	COL15A1
183	TICAM2
184	AC104335.1
185	NECAP1
186	TAF9B
187	AC022960.1
188	G6PC
189	AC005520.2
190	DARS2
191	AL160313.2
192	PRR3
193	AC020909.3
194	REV3L-IT1
195	NXPH4
196	NLRX1
197	ANGPTL2
198	DIRC3-AS1
199	ZNF107
200	FZD10-AS1
201	PHF12
202	AC116667.2
203	PPP4R3A
204	AC113382.1
205	KRT17
206	STK38
207	AL357075.4
208	AP003778.1
209	KDM7A-DT
210	RAB41
211	CHPF2
212	SAMHD1
213	AL589642.2
214	CD1C
215	LIPC-AS1
216	MICB
217	PLPBP
218	AC046143.2
219	AC103853.1
220	AC008649.2
221	MARK3
222	AC023595.1
223	ZC3H7B
224	AC123768.4
225	CD47
226	LSAMP-AS1
227	KIR3DL1
228	Z95114.2
229	KIAA1324L
230	RNF149
231	IL16
232	TMEM82
233	AC005837.1
234	MARVELD3
235	AL031731.1
236	TBC1D10B
237	LINC01733
238	AC016027.3
239	ZNF541
240	AL391294.1
241	JPX
242	PVALB
243	AL158064.1
244	RHCE
245	HCAR1
246	AL354953.1
247	LINC01782
248	AC074281.2
249	CACNG6
250	PPP2R5A
251	AC004865.2
252	TRERF1
253	AC079907.2
254	SLFNL1-AS1
255	EXOC6B
256	CASKIN1
257	AC109462.3
258	ATM
259	TBCEL
260	A2M-AS1
261	AP001160.4
262	LIG3
263	STAB2
264	LINC02624
265	PAN3
266	NES
267	CNOT11
268	TRIM66
269	GNAO1
270	AP000662.1
271	AL109984.1
272	SCTR
273	HLTF
274	DCDC2C
275	LINC01622
276	PGM2L1
277	RAD51B
278	TANC1
279	NIN
280	SYNE1-AS1
281	C1QB
282	AL445584.2
283	RTN4RL1
284	KCNMA1-AS2
285	LINC01514
286	MTRNR2L12
287	ZNF471
288	CEP152
289	SS18L1
290	BCL9L
291	CD99L2
292	CKMT1A
293	EHHADH
294	AL109924.4
295	LYVE1
296	WDR62
297	AC134312.5
298	BIRC2
299	NID2
300	LINC02120
301	LINC01524
302	AL139407.1
303	CACNG8
304	AL078582.1
305	AC005785.1
306	LINC01111
307	TBK1
308	ENHO
309	MSC
310	THSD7B
311	AC108488.1
312	NMB
313	ADAT1
314	FOS
315	AVL9
316	AC007529.1
317	BRWD3
318	PMCH
319	AC087501.1
320	ATXN1L
321	EWSAT1
322	AL133330.1
323	JAG1
324	FCSK
325	AC044839.3
326	RASA3-IT1
327	LINC00222
328	CPB2-AS1
329	AC105020.2
330	CBFA2T3
331	CFP
332	MSL2
333	AP003119.2
334	LINC02393
335	PWRN1
336	MGAT5
337	DDI2
338	ALKBH8
339	MASP1
340	AC055855.2
341	AC133485.5
342	AC005041.3
343	AL360169.3
344	LINC01600
345	LINC02747
346	STX7
347	RIMBP3
348	NAV2-IT1
349	AC115522.1
350	AL158175.1
351	MYL4
352	SALL4
353	BTN1A1
354	AC131649.1
355	AC005224.3
356	AC002310.1
357	GPR143
358	AC093512.1
359	ANKRD34C-AS1
360	HBB
361	SPRY4-AS1
362	AC015983.2
363	AL357054.2
364	LINC02416
365	NNMT
366	AC011473.2
367	HP1BP3
368	AKIRIN1
369	FREM1
370	AC007608.1
371	SCARF2
372	AC089998.2
373	AC103706.1
374	CAPZA3
375	AL158195.1
376	GOLGA8F
377	CTPS1
378	AC009509.2
379	KIAA0513
380	AC020928.2
381	PROX2
382	MELTF-AS1
383	VPS13C
384	NOX5
385	MTRNR2L5
386	AC018557.3
387	HRH1
388	CPNE3
389	EMX2
390	AC025766.1
391	SPACA6
392	SLC35G6
393	AL136309.3
394	ABCC1
395	UNK
396	ACSF2
397	KIAA0586
398	AL033539.1
399	HSD17B3-AS1
400	WDR75
401	AC103879.1
402	WNT3A
403	AL157996.2
404	TSPAN1
405	AC010175.1
406	OGA
407	PDCD1LG2
408	AC145350.2
